date,temp,precip,humidity,windspeed,text
2014-01-01,37.9,0.0,57.4,10.0,"Arctic air is expected to invade the upper Midwest, Great Lakes, Ohio Valley, and Northeast, bringing some of the coldest temperatures in recent memory. Significant cold outbreaks on January 3-4 and 5-8 could result in temperatures 20-30 degrees Fahrenheit below normal. Lows in New England may reach -10s to -20s, and areas in eastern Montana, Minnesota, and Wisconsin may experience lows at or below -20F. Colder locations could drop to -30s or -40s Fahrenheit. Moderate upslope snow is anticipated across east-facing slopes from Montana to Northeast Wyoming. The coldest day is projected around January 8, with temperatures below freezing in a large section of the northern United States, potentially marking the coldest air masses since 1993/1994.

Precipitation is expected from a frontal zone moving across the Midwest and East on Sunday and Monday, followed by lake effect snows from late Monday into Wednesday. Radiational cooling could contribute to extremely low temperatures in the Ohio Valley and Mid-Atlantic states. The Gold Coast of Florida will remain slightly above normal, with temperatures struggling to drop below 60°F. 

The western region will experience milder weather, with parts of the Great Basin and Southwest being 10+ degrees Fahrenheit above normal. Light to moderate precipitation is likely across the Pacific Northwest into the Northern and Central Rockies Tuesday and Wednesday, with potential for a Santa Ana event in Southern California. Temperatures across the Northern Continental Divide should rebound after mid-level heights increase on Wednesday."
2014-01-02,35.9,0.161,82.0,11.3,"Frigid air will sweep into the Midwest, Great Lakes, Ohio Valley, Northeast, and Mid-Atlantic early next week. A deep vortex will lead to significant temperature drops of -10 to -20 degrees across much of the central and eastern U.S., with the Ohio Valley potentially seeing temperatures nearly 40 degrees below normal by Monday. Heavy snow is anticipated northwest of a surface low tracking from the Lower Mississippi Valley to Interior New England, accompanied by strong winds, particularly across the Great Lakes. A strong Arctic front will move across the Appalachians on Sunday. By mid-week, temperatures should begin to moderate in the eastern half of the nation. Increasing moisture will bring rounds of precipitation to the Pacific Northwest, Intermountain West, and Great Basin as initially dry conditions shift to wetter patterns."
2014-01-03,22.4,0.015,54.1,30.5,"Another arctic plunge is expected for the northeast quarter of the US Monday and Tuesday, leading to temperatures 20 to 40 degrees Fahrenheit below normal. A deep upper-level system over eastern Canada will influence this frigid air, while a fresh north Pacific flow will bring cooler and unsettled weather to the Great Lakes and northeast. Light to moderate precipitation is forecasted across the west, with potential localized enhancement along the coast. As the week progresses, precipitation is expected to increase from the southern plains into the Ohio and Tennessee valleys, with rain in the south transitioning to snow/mix further north. The forecast maintains good continuity despite some discrepancies between models regarding the impacts of cold advection associated with the arctic intrusion."
2014-01-04,25.4,0.0,52.6,13.3,"20°F-40°F below normal temperatures are expected in the northeastern quarter of the U.S. for January 7-11, 2014, with Indiana, Ohio, and western Pennsylvania experiencing temperatures 20°F+ below normal. An arctic blast will affect these regions, while the southeast and mid-Atlantic areas will also experience lower temperatures. The forecast incorporates a blend of GFS and GEFS solutions, with a notable phase of energy in the northern stream beyond day 4."
2014-01-05,37.1,0.041,78.7,11.0,"Temperatures are expected to approach normal values, with possibilities of being above normal. A progressive weather pattern will dominate the lower 48 states. Significant precipitation and strong winds are anticipated for the Pacific Northwest due to cyclogenesis off the Oregon/Washington coast. In the Midwest and Plains, a system originating from the South Central Rockies will bring rain through the Ohio Valley, influenced by a surface ridge in the Northeast and Mid-Atlantic. Mid-level warm advection will contribute to this precipitation. The GFS model shows discrepancies in predicted conditions in the Mid-Missouri Valley, while Gulf of Mexico moisture is expected to affect the Southern Plains and Lower-to-Mid Missouri Valley. A cutoff low over the Rio Grande Valley will also enhance moisture and precipitation in these regions."
2014-01-06,36.6,0.107,63.7,24.9,"Overview of upper pattern transition from zonal flow to ridge/trough/ridge, with an active Pacific and strong jet stream. Succession of shortwaves affecting Gulf of Alaska, Pacific Northwest, and British Columbia, with longwave trough axis near 100-110W. Interaction between Western Atlantic ridging and systems in Bahamas and Florida leads to model variability. A closed system over Northern Mexico increases deterministic spread. Better agreement noted in GEFS/ECENS means, preferring ECENS by Monday. Warming in Eastern U.S. due to rising heights, with a pause in Arctic air invasion. Precipitation concentrated in Pacific Northwest and Lower Mississippi Valley, with several inches of rain and several feet of snow expected in Cascades. Persistent onshore flow in Pacific Northwest, confluence in Lower Mississippi and Tennessee/Ohio Valleys. No rapid system deepening anticipated, with temperatures near to above normal across the CONUS."
2014-01-07,12.9,0.005,33.3,18.5,"The medium range forecast shows a rebuilding ridge in the Eastern Pacific and West Coast with a downstream trough moving into the Eastern States by next Tuesday. Model agreement indicates a strong pattern, but there are timing differences, particularly concerning a southern shortwave trough and a cold front approaching the East Coast. A vigorous system is expected north of the Pacific Northwest early Saturday, with variations across models regarding the southern shortwave. The ECMWF/ECMWF mean suggests a weaker system, so adjustments indicate a slightly stronger forecast. Above-normal temperatures will prevail across the U.S., especially in the Northern Tier during the weekend and the East early next week. Significant moisture will affect the Northern Rockies and West Coast Friday to Sunday, potentially leading to several inches of rainfall or snowfall based on elevation. Two periods of enhanced precipitation are forecast for the Eastern U.S., mainly as rainfall, with the highest totals expected from the Central Gulf Coast northeastward into the Tennessee Valley or Southern Appalachians. Extreme weather conditions may arise in Northern areas, particularly with significant events forecasted Friday-Saturday and another episode from Sunday to at least Monday."
2014-01-08,22.2,0.0,40.4,7.8,"Above normal temperatures are expected across most of the lower 48 states, especially in the northern tier, central plains, and parts of California and Nevada from Saturday through Tuesday. A full-latitude cold front will reach the western Atlantic by Sunday, bringing moderate to heavy rainfall across the eastern region, with light wintry precipitation in extreme northern areas. Locally heavy rainfall and higher elevation snow are forecasted for the northern half of the west coast, but conditions will trend drier as a ridge aloft develops. Minimal precipitation is expected in the extreme northern Pacific Northwest and Rockies. A vigorous system will affect the Pacific Northwest and northern plains, with a strong surface gradient supporting periods of strong winds over the northern Rockies and high plains. Snow and rain may occur in the northern tier during the latter half of the period."
2014-01-09,33.2,0.0,55.8,8.1,"Transition to a ridge/trough/ridge flow pattern across the Pacific, CONUS, and Atlantic from January 12 to January 16, 2014, with positive height anomalies in SE AK and near 45N/50W. Continued troughing expected east of the Rockies after Sunday. Generally above normal temperatures across the lower 48, with greatest anomalies in the northern tier and central plains due to Pacific air. Variable temperatures in the eastern U.S. with warm-ups and cool-downs from cold fronts. Eased heavy rain and snow in the Pacific Northwest and Northern Idaho. A Gulf/Southeast system will bring rain and possible wintry precipitation to the Mid-Atlantic/Appalachians and New England, with milder temperatures limiting snow/ice accumulation. Persistent strong surface gradient over the Northern Rockies/High Plains expected to cause strong winds."
2014-01-10,34.7,0.339,83.7,6.6,"Florida will cool off from Wednesday into Friday, with temperatures dropping approximately 6°F below normal. Most of the country will experience temperatures around 15°F above normal, though the northern tier will see a return to milder conditions due to modified Pacific air. Heavy rainfall is expected across northern Florida into the Southeast and possibly the Mid-Atlantic on Monday and Tuesday, with snow anticipated across the Great Lakes during the same period. The Pacific Northwest will dry out under an amplified ridge, while the region east of the Rockies remains impacted by a strong polar vortex and shortwave disturbances, leading to varied precipitation patterns."
2014-01-11,45.6,0.425,88.8,14.6,"Models indicate a warm and dry pattern in the western U.S. due to a ridge, with daytime highs in CA, NV, and OR potentially 15-20°F above normal, and 20-30°F above normal in the northern plains on Wednesday. The central plains may see highs 10-20°F above normal Wednesday to Thursday. A modest amount of moisture may reach the Pacific Northwest by Friday night. Minimum temperatures near freezing are expected around the central Gulf Coast by next Saturday, with no significant drops below normal (10-15°F below normal max). Precipitation includes a departing system on Tuesday bringing snow and potential rain/mix in the Midwest. A deep system is forecast to reach Lake Superior by Thursday, sparking another area of snow in the Great Lakes, with possible lake-effect activity thereafter, though confidence in distribution and intensity remains low."
2014-01-12,47.3,0.001,53.1,16.6,"The medium-range forecast indicates a large ridge over the West Coast and a trough over Eastern North America, with some uncertainty regarding features within the trough and energy approaching the West Coast by Saturday. Expect varied impacts in the East from shortwave energy by Thursday, affecting surface conditions along and offshore the East Coast. A weather system will move into the Upper Great Lakes, likely forming a transient surface wave in the Western Atlantic that is expected to weaken. Precipitation will be below average across the lower 48, with light to moderate snow in the Northern Plains, Great Lakes, and Northeast. Above-normal temperatures are expected in the West, with anomalies reaching +15-20°F in some areas. Light precipitation is possible on the West Coast, particularly in the north. In the Eastern states, expect variable precipitation types influenced by local thermal profiles. Northern-Central Plains will see temperatures 20-25°F above normal midweek, while the Mississippi Valley may experience temperatures 5-15°F below normal later in the week, before warming trends return over the weekend. Overall, significant temperature variability is forecasted across the Central and Eastern U.S. throughout the week."
2014-01-13,45.1,0.003,65.1,14.6,"Models indicate a lead low and trough system moving from the southeastern U.S. northeastward over the western Atlantic from Thursday into Friday, with lingering impacts over far eastern New England and the Canadian Maritimes. A blend of 00 UTC UKMET/ECMWF ensembles shows a compromise between faster GFS models and slower ECMWF models, resulting in limited precipitation in select regions. Expect a warming trend in Western North America and a cooling trend in Eastern North America. Limited precipitation is anticipated due to an emerging mid-upper level trough in the eastern U.S., with the best moisture support over New England from frontal low development."
2014-01-14,48.5,0.623,80.4,14.7,"Above normal temperatures expected in the West with no drought relief for California. More variable temperatures anticipated in the East on either side of climatology. Minimal precipitation forecasted for central and southern California, while precipitation will be confined to central and eastern states. A possible snowstorm is expected in parts of the Northeast early this weekend as a deepening low pressure moves along the New England coast. Light precipitation may follow a couple of low pressure systems across the northern tier. Overall, no significant humidity or wind speed trends provided."
2014-01-15,42.4,0.002,81.0,21.2,"Temperatures are expected to remain above normal in the West, with variable conditions in the East. A dry pattern is anticipated in the West, while precipitation may occur in the Great Lakes and Gulf Coast due to mid-level shortwaves and frontal passages. Low pressure could develop offshore impacting the East Coast late in the period. Shortwaves moving south and east into the Atlantic may enhance rainfall, but specifics remain unclear. The GFS/GEFS models are slightly faster than the ECMWF, UKMET, and Canadian models, with better continuity seen in the ECMWF-led cluster. Attention should be given to a potentially cutoff low near 35N/140W, though significant eastward movement is unlikely due to a strong upper ridge in place. Uncertainties in model predictions persist through the medium range."
2014-01-16,37.3,0.0,52.7,15.2,"A stable ridge/trough pattern persists over Vancouver Island and Southeastern Ontario. Significant variability exists in the Pacific Northwest and Western Atlantic. Positive 500mb height anomalies remain near +2. A preferred model cluster includes ECMWF, UKMET, and ECENS mean. Troughing in the Pacific affects the ridging to the east, with energy potentially splitting north-south. Weaker energy may move toward the Gulf of Alaska. A ridge along the West Coast is likely to maintain or strengthen, influencing mid-level patterns in the Rockies. A northern stream clipper system will impact the East, with potential low-pressure development offshore. The West stays warm with record high temperatures likely, while eastern temperatures trend cooler. Rain and snow are mainly confined to the Great Lakes/Northeast and Gulf Coast, with most weather systems expected to remain offshore."
2014-01-17,38.8,0.002,63.9,11.0,"The medium range forecast from January 20 to January 24, 2014, will feature strong ridging over western Canada and longwave troughing in the eastern U.S. Above-normal high temperatures are expected west of the continental divide, while central, eastern, and southeastern states will see below-normal temperatures (10-20°F below climatological averages) due to an Arctic push. There is less potential for eastern coastal storms than previously indicated. Temperatures in parts of the southeast and southern plains are projected to rebound modestly by the end of the week. Light wintry precipitation may occur along a storm track influenced by mid-level warm advection, but overall precipitation amounts will be minimal, rarely exceeding 1/10th of an inch. Humidity levels will be low, with precipitable water values below climatological averages, contributing to a dry mid-winter pattern across most of the continental U.S."
2014-01-18,31.7,0.0,50.3,18.4,"A highly-amplified ridge/trough pattern will persist, with embedded shortwaves affecting the weather. A blend of ECMWF and GFS models suggests a possible quick intrusion of northern stream energy into Minnesota late Thursday. A weak closed low will approach the CA/OR border late Wednesday into early Thursday under the northern ridge. A cold blast of Arctic air will move through the Upper Midwest and Great Lakes, with temperatures forecasted to be 10-20°F below climatological average in the eastern half of the CONUS. Higher probabilities of wintry precipitation are expected in the Great Lakes, Appalachians, and Northeast, with light mid-level warm advection processes limited to storm tracks from the Northern Plains through the Midwest to the Ohio Valley. Offshore cyclogenesis is favored, while precipitation in coastal areas will be low due to an off-shore flow pattern. The upper ridge may allow for record high temperatures in some areas, but overall precipitation chances remain limited. In Oregon and Washington, an intense subsidence inversion is causing persistent fog and stratus layers, inhibiting warmer temperatures; a cold core low is anticipated to disrupt this pattern in the coming days. Humidity levels are expected to be high due to the persistent fog."
2014-01-19,36.8,0.0,46.0,16.9,"An amplified ridge/trough pattern will persist, with uncertainty in shortwaves in the east and a weakening closed low in the west. Expect above average temperatures and potential record highs in the western U.S. A quasi-stationary upper-level low over Hudson Bay will bring well below normal temperatures to the eastern U.S. with a synoptically dry pattern. Light precipitation is forecasted over Washington and the northern Rockies, dependent on the poorly defined upper low. Cold and blustery west to northwest flow will occur in the eastern region, with sub-zero temperatures likely in the northern tier. A reinforcing cold front will move through Minnesota, Wisconsin, and Michigan this weekend. Increased precipitation is anticipated along the Gulf Coast due to a lingering surface boundary impacting Florida, possibly coalescing offshore. Lake-effect snow is expected in the Great Lakes region, with a sharp temperature gradient through the High Plains."
2014-01-20,45.5,0.0,46.7,17.8,High-amplitude pattern across North America with a ridge in the west and a deep trough in the east. Expect significantly lower temperatures in the eastern United States due to frigid air from the Arctic. Most precipitation will occur along the coastlines and in the Great Lakes region. Humidity and windspeed were not specified.
2014-01-21,30.5,0.072,70.2,24.2,"Resilient large-scale flow pattern over North America with established Pacific storm track lifting to Alaska, resulting in above normal predictability. Arctic cold surges expected to bring well below normal temperatures across the central, eastern, southern, and southeastern US, including Florida. Anticipation of winter precipitation swaths, though exact amounts are uncertain. Forecast from Sunday through Tuesday (Days 5-7) relies on a blend of the 06 UTC GFS ensemble mean and 00 UTC ECMWF ensemble mean, with greater emphasis on the ECMWF to maintain integrity of the larger scale ridge affecting downstream flow evolution."
